combo,year,age,tarsus,nares,mass,plot,elevation,s_r_area,s_l_area,u_r_area,u_l_area,s_r_bright,s_l_bright,u_r_bright,u_l_bright,lores_r_bright,lores_l_bright,r_cont,l_cont,complete_repro,n_fledge,cid,db_att,db_succ,f_provisiong_rate,f_prey_biomass,f_nest_attentiveness,m_provisiong_rate, m_prey_biomass,m_nest_attentiveness,polygynous,food_availability
BABW,2023,ASY,18.5,7.34,10.5,N_Upper,high,12.1965,11.3625,4.619,5.33,113.6215,160.092,113.5745,156.14,44.019,112.2635,69.6025,47.8285,y,4,153,0,0,1.63,4.38,33,1.25,5.88,15.63,1,6.57552254
BARO,2023,ASY,18.15,6.6,10.6,Outer,middle,11.0785,20.366,3.8765,3.959,141.006,195.546,137.0025,180.008,106.316,153.376,34.69,42.17,y,0,152,0,0,,,,,,,0,4.71127647
BBOA,2023,ASY,18.9,6.5,9.63,Mid,low,24.0735,21.329,4.7555,3.9575,,,,,,,,,y,0,165,0,0,,,,,,,0,6.2832167
BPPA,2023,ASY,17.8,7.1,11.01,S_Upper,high,21.434,21.01,3.171,4.667,146.633,126.517,137.511,96.0255,72.4765,70.82,74.1565,55.697,n,,,,,,,,,,,0,5.39029733
BRPA,2023,SY,18,7,10.54,N_Upper,high,20.428,19.0635,3.574,3.948,96.945,131.931,103.062,138.8075,32.123,58.1125,64.822,73.8185,n,,,,,7,11.75,99.75,0.00,0.00,0.00,0,6.05101592
BYYA,2023,SY,18.44,7.08,10.95,Main,middle,15.4725,22.2455,4.4315,4.412,,,,,,,,,n,,,,,,,,,,,1,6.49687929
GBGA,2023,ASY,17.87,6.85,9.91,S_Upper,high,15.1005,18.4565,3.8555,3.358,157.73775,176.76725,127.72425,160.30275,79.54375,113.87675,78.194,62.8905,n,,,,,,,,,,,0,
GBOA,2023,SY,18.27,7.18,10.46,Mid,low,15.097,11.737,3.9975,3.024,160.65,112.8675,161.179,119.3045,124.7305,59.354,35.9195,53.5135,y,5,150,1,1,4,6.17,548.17,3.00,22.00,49.33,0,5.85158968
GGPA,2023,SY,17.9,7,10.83,S_Upper,high,13.7435,13.496,4.247,4.0245,162.1085,131.2075,147.2225,124.7155,81.1095,56.782,80.999,74.4255,y,4,152,1,0,,,,,,,0,5.60520591
GOOA,2023,ASY,17.8,7.2,9.09,Lower,low,19.9875,17.8545,4.186,3.9525,,,,,,,,,y,6,168,1,1,1.75,1.5,1341.75,1.25,2.00,18.75,0,6.14620315
GOPA,2023,ASY,19.8,4.7,10.57,Main,middle,15.995,,6.083,,,,,,,,,,y,3,153,0,0,3.83,12.33,55,0.00,0.00,0.00,0,5.47498267
GOYA,2023,ASY,17.4,7.3,9.8,S_Upper,high,14.8775,19.04,2.595,2.954,144.6955,140.4875,148.623,130.081,94.2815,66.584,50.414,73.9035,y,0,153,0,0,,,,,,,1,6.6189134
GPGA,2023,SY,18.7,7,10.13,N_Upper,high,15.6245,13.986,4.897,5.2995,197.39575,161.2245,188.04925,155.542,139.77375,97.3915,57.622,63.833,y,2,155,0,0,0,0,0,2.00,9.00,21.67,0,3.9607094
GRPA,2023,ASY,17.5,6.5,9.77,Mid,low,13.8005,12.3445,3.685,3.0935,120.414,121.404,113.9415,111.51,62.2945,64.1855,58.1195,57.2185,n,,,,,,,,,,,0,5.28392077
OARR,2023,SY,18.1,7,11.89,S_Upper,high,18.692,19.3105,5.097,5.137,103.3095,114.1055,108.9965,123.742,59.4035,71.0165,43.906,43.089,y,2,154,0,0,1.75,9.75,31,2.00,2.50,28.25,0,5.62137362
OOAY,2023,ASY,18.5,6.8,9.99,Mid,low,17.159,,5.735,,,,,,,,,,n,,,,,,,,,,,1,6.45846372
OOOA,2023,ASY,18.4,6.8,11.02,Main,middle,13.99,13.5415,3.949,3.7235,72.6565,105.071,82.6525,115.619,29.0605,64.2655,43.596,40.8055,y,4,151,0,0,0.62,0.5,113.5,0.00,0.00,0.00,1,6.49687929
ORGA,2023,SY,17.5,6.5,10.52,S_Upper,high,20.546,19.819,4.0905,5.8925,156.9265,133.2565,162.584,139.863,64.923,54.2565,92.0035,79,y,0,153,0,0,,,,,,,0,5.43433527
PABY,2023,SY,19.8,4.6,10.31,Lower,low,23.3035,,11.1265,,,,,,,,,,n,,,,,,,,,,,0,
PAWW,2023,SY,17.6,6.3,9.51,N_Upper,high,17.6465,18.679,3.7245,3.409,97.0465,116.981,94.3515,128.584,8.1985,29.3595,88.848,87.6215,y,,153,0,0,1.57,3.71,33.86,0.00,0.00,0.00,0,7.20928065
PRYA,2023,SY,18.69,6.15,10.44,Main,middle,15.942,13.4845,4.486,3.075,148.6225,181.06725,153.625,195.12625,124.4585,156.47025,24.164,24.597,n,,,,,1.88,3.5,223.88,2.38,11.00,47.88,1,6.49687929
PYRA,2023,SY,18.2,7.2,10.8,S_Upper,high,12.3785,12.6935,3.9625,5.8925,99.225,111.7505,119.0725,117.693,35.3915,34.2855,63.8335,77.465,y,3,156,0,0,1.83,10.67,307.83,2.50,14.83,30.83,0,6.17923501
RAPR,2023,SY,19,7,10.25,Mid,low,17.9215,18.274,3.6535,4.6205,,,,,,,,,n,,,,,,,,,,,1,6.45846372
RRGA,2023,ASY,19.8,4.7,0,Lower,low,22.7425,,5.477,,,,,,,,,,y,0,149,0,0,,,,,,,0,5.25062248
RWBA,2023,SY,18,7.36,9.42,Main,middle,15.554,18.724,4.0725,4.67,167.64525,176.55675,160.04475,175.25625,109.49425,125.97925,58.151,50.5775,y,3,148,0,0,6,13.67,43.33,2.00,9.00,21.67,0,5.35156421
RYOA,2023,SY,17.93,6.49,9.96,Lower,low,18.3705,16.282,5.1045,5.3005,136.0625,169.974,125.2045,163.062,51.928,111.838,84.1345,58.136,y,3,156,0,0,3,4.67,35.5,0.00,0.00,0.00,0,6.01153713
WAPB,2023,ASY,0,6.6,0,Mid,low,16.031,,2.3945,,,,,,,,,,y,2,169,0,0,3.5,15.75,55.5,0.00,0.00,0.00,0,5.21018938
WOBA,2023,ASY,18.3,6.4,10.01,N_Upper,high,16.771,16.204,4.4215,3.643,108.586,151.86825,111.9465,152.88075,67.7705,105.63575,40.8155,46.2325,n,,,,,3.63,6.75,72.63,1.00,3.38,12.50,0,5.48366716
WORA,2023,ASY,18.67,6.78,10.77,Outer,middle,16.7235,19.734,4.248,3.2625,,,,,,,,,y,0,155,0,0,,,,,,,0,5.64503214
YAPY,2023,ASY,17.76,6.89,10.77,N_Upper,high,16.3785,16.135,5.1075,5.7715,129.25125,129.618,132.66375,134.0615,71.13425,75.973,58.117,53.645,y,7,154,1,1,2.88,11.5,222.25,0.00,0.00,0.00,0,5.94483764
YAWR,2023,ASY,17.8,7.1,9.79,N_Upper,high,20.6915,17.5485,5.196,5.4905,118.4225,171.0465,118.259,172.574,78.3185,129.262,40.104,41.7845,y,7,168,1,1,3.63,17.38,72.38,0.62,3.63,9.63,1,6.57552254
YBYA,2023,ASY,19.9,4.7,10.3,Mid,low,16.632,,3.818,,,,,,,,,,n,,,,,,,,,,,1,6.12645976
YPBA,2023,SY,18.6,6.5,9.77,N_Upper,high,19.0745,16.906,2.996,3.849,138.858,142.1975,129.0095,150.814,67.142,89.029,71.716,53.1685,y,7,152,1,1,4,17.5,120.13,0.13,2.00,5.25,0,5.99331568
