combo,year,age,tarsus,nares,mass,plot,elevation,s_r_area,s_l_area,u_r_area,u_l_area,s_r_bright,s_l_bright,u_r_bright,u_l_bright,complete_repro,n_fledge,cid,f_prey_biomass, m_prey_biomass,food_availability
RRGA,2023,ASY,19.8,4.7,,Lower,low,22.7425,,5.477,,,,,,y,0,149,,,5.25062248
GOOA,2023,ASY,17.8,7.2,9.09,Lower,low,19.9875,17.8545,4.186,3.9525,,,,,y,6,168,1.5,2,6.14620315
OPRA,2022,ASY,,,9.1,S_Upper,high,21.711,20.572,3.9455,4.942,,,,,y,4,,12.75,0,4.95868518
GRYA,2022,ASY,18.24,6.79,9.21,N_Upper,high,17.999,19.2915,4.5525,5.2535,,,,,n,,,3.5,0,5.23733361
RWBA,2023,SY,18,7.36,9.42,Main,middle,15.554,18.724,4.0725,4.67,167.64525,176.55675,160.04475,175.25625,y,3,148,13.67,9,5.35156421
PAWW,2023,SY,17.6,6.3,9.51,N_Upper,high,17.6465,18.679,3.7245,3.409,97.0465,116.981,94.3515,128.584,y,,153,3.71,0,7.20928065
BBOA,2023,ASY,18.9,6.5,9.63,Mid,low,24.0735,21.329,4.7555,3.9575,,,,,y,0,165,,,6.2832167
OPWA,2021,SY,21.59,,9.76,Mid,low,18.3305,,3.0635,,132.771,,131.656,,n,,,,,7.31537395
GRPA,2023,ASY,17.5,6.5,9.77,Mid,low,13.8005,12.3445,3.685,3.0935,120.414,121.404,113.9415,111.51,n,,,,,5.28392077
KPGA,2022,ASY,17.8,7.04,9.77,N_Upper,high,28.0985,14.258,4.4555,3.346,,,,,n,,,,,5.05674672
YPBA,2023,SY,18.6,6.5,9.77,N_Upper,high,19.0745,16.906,2.996,3.849,138.858,142.1975,129.0095,150.814,y,7,152,17.5,2,5.99331568
YAWR,2023,ASY,17.8,7.1,9.79,N_Upper,high,20.6915,17.5485,5.196,5.4905,118.4225,171.0465,118.259,172.574,y,7,168,17.38,3.63,6.57552254
GOYA,2023,ASY,17.4,7.3,9.8,S_Upper,high,14.8775,19.04,2.595,2.954,144.6955,140.4875,148.623,130.081,y,0,153,,,6.6189134
GBGA,2023,ASY,17.87,6.85,9.91,S_Upper,high,15.1005,18.4565,3.8555,3.358,157.73775,176.76725,127.72425,160.30275,n,,,,,
BP-A,2021,SY,19.6,,9.91,Mid,low,17.46,,5.832,,132.109,,140.7275,,y,0,145,,,7.11482492
KAYR,2022,SY,18.81,6.89,9.94,Main,middle,16.6905,17.1845,4.31,3.7425,,,,,n,,,,,5.38223305
RWWA,2022,ASY,17.6,7.14,9.96,Mid,low,17.9675,,5.693,,,,,,y,0,151,,,4.13640812
